SYMBOL ENSEMBL HOCOID
TBX2 ENSG00000121068 TBX2.0.D
TBX20 ENSG00000164532 TBX20.0.D
TBX21 ENSG00000073861 TBX21.0.A
TBX3 ENSG00000135111 TBX3.0.C
TBX4 ENSG00000121075 TBX4.0.D
TBX5 ENSG00000089225 TBX5.0.D
TCF12 ENSG00000140262 HTF4.0.A
TCF3 ENSG00000071564 TFE2.0.A
TCF4 ENSG00000196628 ITF2.0.C
TCF7 ENSG00000081059 TCF7.0.A
TCF7L1 ENSG00000152284 TF7L1.0.B
TCF7L2 ENSG00000148737 TF7L2.0.A
TEAD1 ENSG00000187079 TEAD1.0.A
TEAD2 ENSG00000074219 TEAD2.0.D
TEAD3 ENSG00000007866 TEAD3.0.D
TEAD4 ENSG00000197905 TEAD4.0.A
TEF ENSG00000167074 TEF.0.D
TFAP2A ENSG00000137203 AP2A.0.A
TFAP2B ENSG00000008196 AP2B.0.B
TFAP2C ENSG00000087510 AP2C.0.A
TFAP2D ENSG00000008197 AP2D.0.D
TFAP4 ENSG00000090447 TFAP4.0.A
TFCP2 ENSG00000135457 TFCP2.0.D
TFDP1 ENSG00000198176 TFDP1.0.C
TFE3 ENSG00000068323 TFE3.0.B
TFEB ENSG00000112561 TFEB.0.C
TGIF1 ENSG00000177426 TGIF1.0.A
TGIF2 ENSG00000118707 TGIF2.0.D
TGIF2LX ENSG00000153779 TF2LX.0.D
THAP1 ENSG00000131931 THAP1.0.C
THAP11 ENSG00000168286 THA11.0.B
THRA ENSG00000126351 THA.0.C
THRA ENSG00000126351 THA.1.D
THRB ENSG00000151090 THB.0.C
THRB ENSG00000151090 THB.1.D
TLX1 ENSG00000107807 TLX1.0.D
TP53 ENSG00000141510 P53.0.A
TP53 ENSG00000141510 P53.1.A
TP63 ENSG00000073282 P63.0.A
TP63 ENSG00000073282 P63.1.A
TP73 ENSG00000078900 P73.0.A
TP73 ENSG00000078900 P73.1.A
TWIST1 ENSG00000122691 TWST1.0.A
TWIST1 ENSG00000122691 TWST1.1.A
UBP1 ENSG00000153560 UBIP1.0.D
UNCX ENSG00000164853 UNC4.0.D
USF1 ENSG00000158773 USF1.0.A
USF2 ENSG00000105698 USF2.0.A
VAX1 ENSG00000148704 VAX1.0.D
VAX2 ENSG00000116035 VAX2.0.D
VDR ENSG00000111424 VDR.0.A
VDR ENSG00000111424 VDR.1.A
VENTX ENSG00000151650 VENTX.0.D
VEZF1 ENSG00000136451 VEZF1.0.C
VEZF1 ENSG00000136451 VEZF1.1.C
VSX1 ENSG00000100987 VSX1.0.D
VSX2 ENSG00000119614 VSX2.0.D
WT1 ENSG00000184937 WT1.0.C
WT1 ENSG00000184937 WT1.1.B
XBP1 ENSG00000100219 XBP1.0.D
YY1 ENSG00000100811 TYY1.0.A
YY2 ENSG00000230797 TYY2.0.D
ZBED1 ENSG00000214717 ZBED1.0.D
ZBTB14 ENSG00000198081 ZBT14.0.C
ZBTB17 ENSG00000116809 ZBT17.0.A
ZBTB18 ENSG00000179456 ZBT18.0.C
ZBTB33 ENSG00000177485 KAISO.0.A
ZBTB33 ENSG00000177485 KAISO.1.A
ZBTB33 ENSG00000177485 KAISO.2.A
ZBTB4 ENSG00000174282 ZBTB4.0.D
ZBTB4 ENSG00000174282 ZBTB4.1.D
ZBTB48 ENSG00000204859 ZBT48.0.C
ZBTB49 ENSG00000168826 ZBT49.0.D
ZBTB6 ENSG00000186130 ZBTB6.0.C
ZBTB7A ENSG00000178951 ZBT7A.0.A
ZBTB7B ENSG00000160685 ZBT7B.0.D
ZEB1 ENSG00000148516 ZEB1.0.A
ZFHX3 ENSG00000140836 ZFHX3.0.D
ZFP28 ENSG00000196867 ZFP28.0.C
ZFP42 ENSG00000179059 ZFP42.0.A
ZFP64 ENSG00000020256 ZF64A.0.D
ZFP82 ENSG00000181007 ZFP82.0.C
ZFX ENSG00000005889 ZFX.0.A
ZFX ENSG00000005889 ZFX.1.A
ZIC1 ENSG00000152977 ZIC1.0.B
ZIC2 ENSG00000043355 ZIC2.0.D
ZIC3 ENSG00000156925 ZIC3.0.B
ZIC4 ENSG00000174963 ZIC4.0.D
ZIM3 ENSG00000141946 ZIM3.0.C
ZKSCAN1 ENSG00000106261 ZKSC1.0.B
ZKSCAN3 ENSG00000189298 ZKSC3.0.D
ZNF121 ENSG00000197961 ZN121.0.C
ZNF134 ENSG00000213762 ZN134.0.C
ZNF134 ENSG00000213762 ZN134.1.C
ZNF136 ENSG00000196646 ZN136.0.C
ZNF140 ENSG00000196387 ZN140.0.C
ZNF143 ENSG00000166478 ZN143.0.A
ZNF146 ENSG00000167635 OZF.0.C
ZNF148 ENSG00000163848 ZN148.0.D
ZNF18 ENSG00000154957 ZNF18.0.C
ZNF214 ENSG00000149050 ZN214.0.C
ZNF219 ENSG00000165804 ZN219.0.D
ZNF232 ENSG00000167840 ZN232.0.D
ZNF250 ENSG00000196150 ZN250.0.C
ZNF257 ENSG00000197134 ZN257.0.C
ZNF260 ENSG00000254004 ZN260.0.C
ZNF263 ENSG00000006194 ZN263.0.A
ZNF263 ENSG00000006194 ZN263.1.A
ZNF264 ENSG00000083844 ZN264.0.C
ZNF274 ENSG00000171606 ZN274.0.A
ZNF281 ENSG00000162702 ZN281.0.A
ZNF282 ENSG00000170265 ZN282.0.D
ZNF317 ENSG00000130803 ZN317.0.C
ZNF320 ENSG00000182986 ZN320.0.C
ZNF322 ENSG00000181315 ZN322.0.B
ZNF324 ENSG00000083812 Z324A.0.C
ZNF329 ENSG00000181894 ZN329.0.C
ZNF331 ENSG00000130844 ZN331.0.C
ZNF333 ENSG00000160961 ZN333.0.D
ZNF335 ENSG00000198026 ZN335.0.A
ZNF335 ENSG00000198026 ZN335.1.A
ZNF341 ENSG00000131061 ZN341.0.C
ZNF341 ENSG00000131061 ZN341.1.C
ZNF350 ENSG00000256683 ZN350.0.C
ZNF350 ENSG00000256683 ZN350.1.D
ZNF354A ENSG00000169131 Z354A.0.C
ZNF382 ENSG00000161298 ZN382.0.C
ZNF384 ENSG00000126746 ZN384.0.C
ZNF394 ENSG00000160908 ZN394.0.C
ZNF394 ENSG00000160908 ZN394.1.D
ZNF41 ENSG00000147124 ZNF41.0.C
ZNF41 ENSG00000147124 ZNF41.1.C
ZNF410 ENSG00000119725 ZN410.0.D
ZNF418 ENSG00000196724 ZN418.0.C
ZNF418 ENSG00000196724 ZN418.1.D
ZNF423 ENSG00000102935 ZN423.0.D
ZNF436 ENSG00000125945 ZN436.0.C
ZNF449 ENSG00000173275 ZN449.0.C
ZNF467 ENSG00000181444 ZN467.0.C
ZNF490 ENSG00000188033 ZN490.0.C
ZNF502 ENSG00000196653 ZN502.0.C
ZNF524 ENSG00000171443 ZN524.0.D
ZNF528 ENSG00000167555 ZN528.0.C
ZNF547 ENSG00000152433 ZN547.0.C
ZNF549 ENSG00000121406 ZN549.0.C
ZNF554 ENSG00000172006 ZN554.0.C
ZNF554 ENSG00000172006 ZN554.1.D
ZNF563 ENSG00000188868 ZN563.0.C
ZNF563 ENSG00000188868 ZN563.1.C
ZNF582 ENSG00000018869 ZN582.0.C
ZNF586 ENSG00000083828 ZN586.0.C
ZNF589 ENSG00000164048 ZN589.0.D
ZNF652 ENSG00000198740 ZN652.0.D
ZNF667 ENSG00000198046 ZN667.0.C
ZNF680 ENSG00000173041 ZN680.0.C
ZNF708 ENSG00000182141 ZN708.0.C
ZNF708 ENSG00000182141 ZN708.1.D
ZNF713 ENSG00000178665 ZN713.0.D
ZNF740 ENSG00000139651 ZN740.0.D
ZNF76 ENSG00000065029 ZNF76.0.C
ZNF768 ENSG00000169957 ZN768.0.C
ZNF770 ENSG00000198146 ZN770.0.C
ZNF770 ENSG00000198146 ZN770.1.C
ZNF784 ENSG00000179922 ZN784.0.D
ZNF8 ENSG00000278129 ZNF8.0.C
ZNF816 ENSG00000180257 ZN816.0.C
ZNF816 ENSG00000180257 ZN816.1.C
ZNF85 ENSG00000105750 ZNF85.0.C
ZNF85 ENSG00000105750 ZNF85.1.C
ZSCAN16 ENSG00000196812 ZSC16.0.D
ZSCAN22 ENSG00000182318 ZSC22.0.C
ZSCAN31 ENSG00000235109 ZSC31.0.C
ZSCAN4 ENSG00000180532 ZSCA4.0.D
